date,Year_Month,open,high,low,close,volume,avg_vol_20d,UNRATE(%),CONSUMER CONF INDEX,PPI-CONST MAT.,CPIALLITEMS,INFLATION(%),MORTGAGE INT. MONTHLY AVG(%),MED HOUSEHOLD INCOME,CORP. BOND YIELD(%),MONTHLY HOME SUPPLY
2011/10/28,10-2011,1284.39,1287.08,1277.01,1285.09,4536690000,4687673000,8.8,39.8,202.7,95.5294346,3.525199928,4.0675,50054,3.98,6
2011/10/31,10-2011,1284.96,1284.96,1253.16,1253.3,4310210000,4619666500,8.8,39.8,202.7,95.5294346,3.525199928,4.0675,50054,3.98,6
2011/11/1,11-2011,1251,1251,1215.42,1218.28,5645540000,4716210000,8.6,56,202.2,95.44884966,3.394377595,3.9925,50054,3.87,5.7
2011/11/2,11-2011,1219.62,1242.48,1219.62,1237.9,4110530000,4796205500,8.6,56,202.2,95.44884966,3.394377595,3.9925,50054,3.87,5.7
2011/11/3,11-2011,1238.25,1263.21,1234.8101,1261.15,4849140000,4783746000,8.6,56,202.2,95.44884966,3.394377595,3.9925,50054,3.87,5.7
2011/11/4,11-2011,1260.8199,1260.8199,1238.92,1253.23,3830650000,4696259500,8.6,56,202.2,95.44884966,3.394377595,3.9925,50054,3.87,5.7
2011/11/7,11-2011,1253.21,1261.7,1240.75,1261.12,3429740000,4645406500,8.6,56,202.2,95.44884966,3.394377595,3.9925,50054,3.87,5.7
2011/11/8,11-2011,1261.12,1277.55,1254.99,1275.92,3908490000,4619606000,8.6,56,202.2,95.44884966,3.394377595,3.9925,50054,3.87,5.7
2011/11/9,11-2011,1275.1801,1275.1801,1226.64,1229.1,4659740000,4584825000,8.6,56,202.2,95.44884966,3.394377595,3.9925,50054,3.87,5.7
2011/11/10,11-2011,1229.59,1246.22,1227.7,1239.7,4002760000,4563149500,8.6,56,202.2,95.44884966,3.394377595,3.9925,50054,3.87,5.7
2011/11/11,11-2011,1240.12,1266.98,1240.12,1263.85,3370180000,4525824000,8.6,56,202.2,95.44884966,3.394377595,3.9925,50054,3.87,5.7
2011/11/14,11-2011,1263.85,1263.85,1246.6801,1251.78,3219680000,4471773000,8.6,56,202.2,95.44884966,3.394377595,3.9925,50054,3.87,5.7
2011/11/15,11-2011,1251.7,1264.25,1244.34,1257.8101,3599300000,4409729500,8.6,56,202.2,95.44884966,3.394377595,3.9925,50054,3.87,5.7
2011/11/16,11-2011,1257.8101,1259.61,1235.67,1236.91,4085010000,4371660500,8.6,56,202.2,95.44884966,3.394377595,3.9925,50054,3.87,5.7
2011/11/17,11-2011,1236.5601,1237.73,1209.4301,1216.13,4596450000,4357968500,8.6,56,202.2,95.44884966,3.394377595,3.9925,50054,3.87,5.7
2011/11/18,11-2011,1216.1899,1223.51,1211.36,1215.65,3827610000,4300310500,8.6,56,202.2,95.44884966,3.394377595,3.9925,50054,3.87,5.7
2011/11/21,11-2011,1215.62,1215.62,1183.16,1192.98,4050070000,4287345000,8.6,56,202.2,95.44884966,3.394377595,3.9925,50054,3.87,5.7
2011/11/22,11-2011,1192.98,1196.8101,1181.65,1188.04,3911710000,4259232000,8.6,56,202.2,95.44884966,3.394377595,3.9925,50054,3.87,5.7
2011/11/23,11-2011,1187.48,1187.48,1161.79,1161.79,3798940000,4205502500,8.6,56,202.2,95.44884966,3.394377595,3.9925,50054,3.87,5.7
2011/11/25,11-2011,1161.41,1172.66,1158.66,1158.67,1664200000,3970332000,8.6,56,202.2,95.44884966,3.394377595,3.9925,50054,3.87,5.7
2011/11/28,11-2011,1158.67,1197.35,1158.67,1192.55,3920750000,3939535000,8.6,56,202.2,95.44884966,3.394377595,3.9925,50054,3.87,5.7
2011/11/29,11-2011,1192.5601,1203.67,1191.8,1195.1899,3992650000,3923657000,8.6,56,202.2,95.44884966,3.394377595,3.9925,50054,3.87,5.7
2011/11/30,11-2011,1196.72,1247.11,1196.72,1246.96,5801910000,3931475500,8.6,56,202.2,95.44884966,3.394377595,3.9925,50054,3.87,5.7
2011/12/1,12-2011,1246.91,1251.09,1239.73,1244.58,3818680000,3916883000,8.5,64.5,202.2,95.21342351,2.96241885,3.958,50054,3.93,5.3
2011/12/2,12-2011,1246.03,1260.08,1243.35,1244.28,4144310000,3881641500,8.5,64.5,202.2,95.21342351,2.96241885,3.958,50054,3.93,5.3
2011/12/5,12-2011,1244.33,1266.73,1244.33,1257.08,4148060000,3897512000,8.5,64.5,202.2,95.21342351,2.96241885,3.958,50054,3.93,5.3
2011/12/6,12-2011,1257.1899,1266.03,1253.03,1258.47,3734230000,3912736500,8.5,64.5,202.2,95.21342351,2.96241885,3.958,50054,3.93,5.3
2011/12/7,12-2011,1258.14,1267.0601,1244.8,1261.01,4160540000,3925339000,8.5,64.5,202.2,95.21342351,2.96241885,3.958,50054,3.93,5.3
2011/12/8,12-2011,1260.87,1260.87,1231.47,1234.35,4298370000,3907270500,8.5,64.5,202.2,95.21342351,2.96241885,3.958,50054,3.93,5.3
2011/12/9,12-2011,1234.48,1258.25,1234.48,1255.1899,3830610000,3898663000,8.5,64.5,202.2,95.21342351,2.96241885,3.958,50054,3.93,5.3
2011/12/12,12-2011,1255.05,1255.05,1227.25,1236.47,3600570000,3910182500,8.5,64.5,202.2,95.21342351,2.96241885,3.958,50054,3.93,5.3
2011/12/13,12-2011,1236.83,1249.86,1219.4301,1225.73,4121570000,3955277000,8.5,64.5,202.2,95.21342351,2.96241885,3.958,50054,3.93,5.3
2011/12/14,12-2011,1225.73,1225.73,1209.47,1211.8199,4298290000,3990226500,8.5,64.5,202.2,95.21342351,2.96241885,3.958,50054,3.93,5.3
2011/12/15,12-2011,1212.12,1225.6,1212.12,1215.75,3810340000,3976493000,8.5,64.5,202.2,95.21342351,2.96241885,3.958,50054,3.93,5.3
2011/12/16,12-2011,1216.09,1231.04,1215.2,1219.66,5345800000,4013960500,8.5,64.5,202.2,95.21342351,2.96241885,3.958,50054,3.93,5.3
2011/12/19,12-2011,1219.74,1224.5699,1202.37,1205.35,3659820000,4005571000,8.5,64.5,202.2,95.21342351,2.96241885,3.958,50054,3.93,5.3
2011/12/20,12-2011,1205.72,1242.8199,1205.72,1241.3,4055590000,4005847000,8.5,64.5,202.2,95.21342351,2.96241885,3.958,50054,3.93,5.3
2011/12/21,12-2011,1241.25,1245.09,1229.51,1243.72,2959020000,3958212500,8.5,64.5,202.2,95.21342351,2.96241885,3.958,50054,3.93,5.3
2011/12/22,12-2011,1243.72,1255.22,1243.72,1254,3492250000,3942878000,8.5,64.5,202.2,95.21342351,2.96241885,3.958,50054,3.93,5.3
2011/12/23,12-2011,1254,1265.42,1254,1265.33,2233830000,3971359500,8.5,64.5,202.2,95.21342351,2.96241885,3.958,50054,3.93,5.3
2011/12/27,12-2011,1265.02,1269.37,1262.3,1265.4301,2130590000,3881851500,8.5,64.5,202.2,95.21342351,2.96241885,3.958,50054,3.93,5.3
2011/12/28,12-2011,1265.38,1265.85,1248.64,1249.64,2349980000,3799718000,8.5,64.5,202.2,95.21342351,2.96241885,3.958,50054,3.93,5.3
2011/12/29,12-2011,1249.75,1263.54,1249.75,1263.02,2278130000,3623529000,8.5,64.5,202.2,95.21342351,2.96241885,3.958,50054,3.93,5.3
2011/12/30,12-2011,1262.8199,1264.12,1257.46,1257.6,2271850000,3546187500,8.5,64.5,202.2,95.21342351,2.96241885,3.958,50054,3.93,5.3
2012/1/3,1-2012,1258.86,1284.62,1258.86,1277.0601,3943710000,3536157500,8.3,61.1,203.9,95.6323808,2.92521671,3.915,51017,3.85,5.3
2012/1/4,1-2012,1277.03,1278.73,1268.1,1277.3,3592580000,3508383500,8.3,61.1,203.9,95.6323808,2.92521671,3.915,51017,3.85,5.3
2012/1/5,1-2012,1277.3,1283.05,1265.26,1281.0601,4315950000,3537469500,8.3,61.1,203.9,95.6323808,2.92521671,3.915,51017,3.85,5.3
2012/1/6,1-2012,1280.9301,1281.84,1273.34,1277.8101,3656830000,3512284000,8.3,61.1,203.9,95.6323808,2.92521671,3.915,51017,3.85,5.3
2012/1/9,1-2012,1277.83,1281.99,1274.55,1280.7,3371600000,3465945500,8.3,61.1,203.9,95.6323808,2.92521671,3.915,51017,3.85,5.3
2012/1/10,1-2012,1280.77,1296.46,1280.77,1292.08,4221960000,3485513000,8.3,61.1,203.9,95.6323808,2.92521671,3.915,51017,3.85,5.3
2012/1/11,1-2012,1292.02,1293.8,1285.41,1292.48,3968120000,3503890500,8.3,61.1,203.9,95.6323808,2.92521671,3.915,51017,3.85,5.3
2012/1/12,1-2012,1292.48,1296.8199,1285.77,1295.5,4019890000,3498806500,8.3,61.1,203.9,95.6323808,2.92521671,3.915,51017,3.85,5.3
2012/1/13,1-2012,1294.8199,1294.8199,1277.58,1289.09,3692370000,3468510500,8.3,61.1,203.9,95.6323808,2.92521671,3.915,51017,3.85,5.3
2012/1/17,1-2012,1290.22,1303,1290.22,1293.67,4010490000,3478518000,8.3,61.1,203.9,95.6323808,2.92521671,3.915,51017,3.85,5.3
2012/1/18,1-2012,1293.65,1308.11,1290.99,1308.04,4096160000,3416036000,8.3,61.1,203.9,95.6323808,2.92521671,3.915,51017,3.85,5.3
2012/1/19,1-2012,1308.0699,1315.49,1308.0699,1314.5,4465890000,3456339500,8.3,61.1,203.9,95.6323808,2.92521671,3.915,51017,3.85,5.3
2012/1/20,1-2012,1314.49,1315.38,1309.17,1315.38,3912620000,3449191000,8.3,61.1,203.9,95.6323808,2.92521671,3.915,51017,3.85,5.3
2012/1/23,1-2012,1315.29,1322.28,1309.89,1316,3770910000,3489785500,8.3,61.1,203.9,95.6323808,2.92521671,3.915,51017,3.85,5.3
2012/1/24,1-2012,1315.96,1315.96,1306.0601,1314.65,3693560000,3499851000,8.3,61.1,203.9,95.6323808,2.92521671,3.915,51017,3.85,5.3
2012/1/25,1-2012,1314.4,1328.3,1307.65,1326.0601,4410910000,3608705000,8.3,61.1,203.9,95.6323808,2.92521671,3.915,51017,3.85,5.3
2012/1/26,1-2012,1326.28,1333.47,1313.6,1318.4301,4522070000,3728279000,8.3,61.1,203.9,95.6323808,2.92521671,3.915,51017,3.85,5.3
2012/1/27,1-2012,1318.25,1320.0601,1311.72,1316.33,4007380000,3811149000,8.3,61.1,203.9,95.6323808,2.92521671,3.915,51017,3.85,5.3
2012/1/30,1-2012,1316.16,1316.16,1300.49,1313.01,3659010000,3880193000,8.3,61.1,203.9,95.6323808,2.92521671,3.915,51017,3.85,5.3
2012/1/31,1-2012,1313.53,1321.41,1306.6899,1312.41,4235550000,3978378000,8.3,61.1,203.9,95.6323808,2.92521671,3.915,51017,3.85,5.3
2012/2/1,2-2012,1312.45,1330.52,1312.45,1324.09,4504360000,4006410500,8.3,70.8,205.1,96.05344764,2.871098777,3.89,51017,3.85,4.8
2012/2/2,2-2012,1324.24,1329.1899,1321.5699,1325.54,4120920000,4032827500,8.3,70.8,205.1,96.05344764,2.871098777,3.89,51017,3.85,4.8
2012/2/3,2-2012,1326.21,1345.34,1326.21,1344.9,4608550000,4047457500,8.3,70.8,205.1,96.05344764,2.871098777,3.89,51017,3.85,4.8
2012/2/6,2-2012,1344.3199,1344.36,1337.52,1344.33,3379700000,4033601000,8.3,70.8,205.1,96.05344764,2.871098777,3.89,51017,3.85,4.8
2012/2/7,2-2012,1344.33,1349.24,1335.92,1347.05,3742460000,4052144000,8.3,70.8,205.1,96.05344764,2.871098777,3.89,51017,3.85,4.8
2012/2/8,2-2012,1347.04,1351,1341.95,1349.96,4096730000,4045882500,8.3,70.8,205.1,96.05344764,2.871098777,3.89,51017,3.85,4.8
2012/2/9,2-2012,1349.97,1354.3199,1344.63,1351.95,4209890000,4057971000,8.3,70.8,205.1,96.05344764,2.871098777,3.89,51017,3.85,4.8
2012/2/10,2-2012,1351.21,1351.21,1337.35,1342.64,3877580000,4050855500,8.3,70.8,205.1,96.05344764,2.871098777,3.89,51017,3.85,4.8
2012/2/13,2-2012,1343.0601,1353.35,1343.0601,1351.77,3618040000,4047139000,8.3,70.8,205.1,96.05344764,2.871098777,3.89,51017,3.85,4.8
2012/2/14,2-2012,1351.3,1351.3,1340.83,1350.5,3889520000,4041090500,8.3,70.8,205.1,96.05344764,2.871098777,3.89,51017,3.85,4.8
2012/2/15,2-2012,1350.52,1355.87,1340.8,1343.23,4080340000,4040299500,8.3,70.8,205.1,96.05344764,2.871098777,3.89,51017,3.85,4.8
2012/2/16,2-2012,1342.61,1359.02,1341.22,1358.04,4108880000,4022449000,8.3,70.8,205.1,96.05344764,2.871098777,3.89,51017,3.85,4.8
2012/2/17,2-2012,1358.0601,1363.4,1357.24,1361.23,3717640000,4012700000,8.3,70.8,205.1,96.05344764,2.871098777,3.89,51017,3.85,4.8
2012/2/21,2-2012,1361.22,1367.76,1358.11,1362.21,3795200000,4013914500,8.3,70.8,205.1,96.05344764,2.871098777,3.89,51017,3.85,4.8
2012/2/22,2-2012,1362.11,1362.7,1355.53,1357.66,3633710000,4010922000,8.3,70.8,205.1,96.05344764,2.871098777,3.89,51017,3.85,4.8
2012/2/23,2-2012,1357.53,1364.24,1352.28,1363.46,3786450000,3979699000,8.3,70.8,205.1,96.05344764,2.871098777,3.89,51017,3.85,4.8
2012/2/24,2-2012,1363.46,1368.92,1363.46,1365.74,3505360000,3928863500,8.3,70.8,205.1,96.05344764,2.871098777,3.89,51017,3.85,4.8
2012/2/27,2-2012,1365.2,1371.9399,1354.92,1367.59,3648890000,3910939000,8.3,70.8,205.1,96.05344764,2.871098777,3.89,51017,3.85,4.8
2012/2/28,2-2012,1367.5601,1373.09,1365.97,1372.1801,3579120000,3906944500,8.3,70.8,205.1,96.05344764,2.871098777,3.89,51017,3.85,4.8
2012/2/29,2-2012,1372.2,1378.04,1363.8101,1365.6801,4482370000,3919285500,8.3,70.8,205.1,96.05344764,2.871098777,3.89,51017,3.85,4.8
2012/3/1,3-2012,1365.9,1376.17,1365.9,1374.09,3919240000,3890029500,8.2,70.2,205.7,96.78293118,2.651398195,3.954,51017,3.99,4.9
2012/3/2,3-2012,1374.09,1374.53,1366.42,1369.63,3283490000,3848158000,8.2,70.2,205.7,96.78293118,2.651398195,3.954,51017,3.99,4.9
2012/3/5,3-2012,1369.59,1369.59,1359.13,1364.33,3429480000,3789204500,8.2,70.2,205.7,96.78293118,2.651398195,3.954,51017,3.99,4.9
2012/3/6,3-2012,1363.63,1363.63,1340.03,1343.36,4191060000,3829772500,8.2,70.2,205.7,96.78293118,2.651398195,3.954,51017,3.99,4.9
2012/3/7,3-2012,1343.39,1354.85,1343.39,1352.63,3580380000,3821668500,8.2,70.2,205.7,96.78293118,2.651398195,3.954,51017,3.99,4.9
2012/3/8,3-2012,1352.65,1368.72,1352.65,1365.91,3543060000,3793985000,8.2,70.2,205.7,96.78293118,2.651398195,3.954,51017,3.99,4.9
2012/3/9,3-2012,1365.97,1374.76,1365.97,1370.87,3639470000,3765464000,8.2,70.2,205.7,96.78293118,2.651398195,3.954,51017,3.99,4.9
2012/3/12,3-2012,1370.78,1373.04,1366.6899,1371.09,3081870000,3725678500,8.2,70.2,205.7,96.78293118,2.651398195,3.954,51017,3.99,4.9
2012/3/13,3-2012,1371.92,1396.13,1371.92,1395.95,4386470000,3764100000,8.2,70.2,205.7,96.78293118,2.651398195,3.954,51017,3.99,4.9
2012/3/14,3-2012,1395.95,1399.42,1389.97,1394.28,4502280000,3794738000,8.2,70.2,205.7,96.78293118,2.651398195,3.954,51017,3.99,4.9
2012/3/15,3-2012,1394.17,1402.63,1392.78,1402.6,4271650000,3804303500,8.2,70.2,205.7,96.78293118,2.651398195,3.954,51017,3.99,4.9
2012/3/16,3-2012,1402.55,1405.88,1401.47,1404.17,5163950000,3857057000,8.2,70.2,205.7,96.78293118,2.651398195,3.954,51017,3.99,4.9
2012/3/19,3-2012,1404.17,1414,1402.4301,1409.75,3932570000,3867803500,8.2,70.2,205.7,96.78293118,2.651398195,3.954,51017,3.99,4.9
2012/3/20,3-2012,1409.59,1409.59,1397.6801,1405.52,3695280000,3862807500,8.2,70.2,205.7,96.78293118,2.651398195,3.954,51017,3.99,4.9
2012/3/21,3-2012,1405.52,1407.75,1400.64,1402.89,3573590000,3859801500,8.2,70.2,205.7,96.78293118,2.651398195,3.954,51017,3.99,4.9
2012/3/22,3-2012,1402.89,1402.89,1388.73,1392.78,3740590000,3857508500,8.2,70.2,205.7,96.78293118,2.651398195,3.954,51017,3.99,4.9
2012/3/23,3-2012,1392.78,1399.1801,1386.87,1397.11,3472950000,3855888000,8.2,70.2,205.7,96.78293118,2.651398195,3.954,51017,3.99,4.9
2012/3/26,3-2012,1397.11,1416.58,1397.11,1416.51,3576950000,3852291000,8.2,70.2,205.7,96.78293118,2.651398195,3.954,51017,3.99,4.9
2012/3/27,3-2012,1416.55,1419.15,1411.95,1412.52,3513640000,3849017000,8.2,70.2,205.7,96.78293118,2.651398195,3.954,51017,3.99,4.9
2012/3/28,3-2012,1412.52,1413.65,1397.2,1405.54,3892800000,3819538500,8.2,70.2,205.7,96.78293118,2.651398195,3.954,51017,3.99,4.9
2012/3/29,3-2012,1405.39,1405.39,1391.5601,1403.28,3832000000,3815176500,8.2,70.2,205.7,96.78293118,2.651398195,3.954,51017,3.99,4.9
2012/3/30,3-2012,1403.3101,1410.89,1401.42,1408.47,3676890000,3834846500,8.2,70.2,205.7,96.78293118,2.651398195,3.954,51017,3.99,4.9
2012/4/2,4-2012,1408.47,1422.38,1404.46,1419.04,3572010000,3841973000,8.2,69.2,206.3,97.07531527,2.302739809,3.91,51017,3.96,4.9
2012/4/3,4-2012,1418.98,1419,1404.62,1413.38,3822090000,3823524500,8.2,69.2,206.3,97.07531527,2.302739809,3.91,51017,3.96,4.9
2012/4/4,4-2012,1413.09,1413.09,1394.09,1398.96,3938290000,3841420000,8.2,69.2,206.3,97.07531527,2.302739809,3.91,51017,3.96,4.9
2012/4/5,4-2012,1398.79,1401.6,1392.92,1398.08,3303740000,3829454000,8.2,69.2,206.3,97.07531527,2.302739809,3.91,51017,3.96,4.9
2012/4/9,4-2012,1397.45,1397.45,1378.24,1382.2,3468980000,3820929500,8.2,69.2,206.3,97.07531527,2.302739809,3.91,51017,3.96,4.9
2012/4/10,4-2012,1382.1801,1383.01,1357.38,1358.59,4631730000,3898422500,8.2,69.2,206.3,97.07531527,2.302739809,3.91,51017,3.96,4.9
2012/4/11,4-2012,1358.98,1374.71,1358.98,1368.71,3743040000,3866251000,8.2,69.2,206.3,97.07531527,2.302739809,3.91,51017,3.96,4.9
2012/4/12,4-2012,1368.77,1388.13,1368.77,1387.5699,3618280000,3822051000,8.2,69.2,206.3,97.07531527,2.302739809,3.91,51017,3.96,4.9
2012/4/13,4-2012,1387.61,1387.61,1369.85,1370.26,3631160000,3790026500,8.2,69.2,206.3,97.07531527,2.302739809,3.91,51017,3.96,4.9
2012/4/16,4-2012,1370.27,1379.66,1365.38,1369.5699,3574780000,3710568000,8.2,69.2,206.3,97.07531527,2.302739809,3.91,51017,3.96,4.9
2012/4/17,4-2012,1369.5699,1392.76,1369.5699,1390.78,3456200000,3686749500,8.2,69.2,206.3,97.07531527,2.302739809,3.91,51017,3.96,4.9
2012/4/18,4-2012,1390.78,1390.78,1383.29,1385.14,3463140000,3675142500,8.2,69.2,206.3,97.07531527,2.302739809,3.91,51017,3.96,4.9
2012/4/19,4-2012,1385.08,1390.46,1370.3,1376.92,4180020000,3705464000,8.2,69.2,206.3,97.07531527,2.302739809,3.91,51017,3.96,4.9
2012/4/20,4-2012,1376.96,1387.4,1376.96,1378.53,3833320000,3710100500,8.2,69.2,206.3,97.07531527,2.302739809,3.91,51017,3.96,4.9
2012/4/23,4-2012,1378.53,1378.53,1358.79,1366.9399,3654860000,3719196000,8.2,69.2,206.3,97.07531527,2.302739809,3.91,51017,3.96,4.9
2012/4/24,4-2012,1366.97,1375.5699,1366.8199,1371.97,3617100000,3721203500,8.2,69.2,206.3,97.07531527,2.302739809,3.91,51017,3.96,4.9
2012/4/25,4-2012,1372.11,1391.37,1372.11,1390.6899,3998430000,3745443000,8.2,69.2,206.3,97.07531527,2.302739809,3.91,51017,3.96,4.9
2012/4/26,4-2012,1390.64,1402.09,1387.28,1399.98,4034700000,3752538000,8.2,69.2,206.3,97.07531527,2.302739809,3.91,51017,3.96,4.9
2012/4/27,4-2012,1400.1899,1406.64,1397.3101,1403.36,3645830000,3743229500,8.2,69.2,206.3,97.07531527,2.302739809,3.91,51017,3.96,4.9
2012/4/30,4-2012,1403.26,1403.26,1394,1397.91,3574010000,3738085500,8.2,69.2,206.3,97.07531527,2.302739809,3.91,51017,3.96,4.9
2012/5/1,5-2012,1397.86,1415.3199,1395.73,1405.8199,3807950000,3749882500,8.2,64.9,206.5,96.96139939,1.704253776,3.798,51017,3.8,4.7
2012/5/2,5-2012,1405.5,1405.5,1393.92,1402.3101,3803860000,3748971000,8.2,64.9,206.5,96.96139939,1.704253776,3.798,51017,3.8,4.7
2012/5/3,5-2012,1402.3199,1403.0699,1388.71,1391.5699,4004910000,3752302000,8.2,64.9,206.5,96.96139939,1.704253776,3.798,51017,3.8,4.7
2012/5/4,5-2012,1391.51,1391.51,1367.96,1369.1,3975140000,3785872000,8.2,64.9,206.5,96.96139939,1.704253776,3.798,51017,3.8,4.7
2012/5/7,5-2012,1368.79,1373.91,1363.9399,1369.58,3559390000,3790392500,8.2,64.9,206.5,96.96139939,1.704253776,3.798,51017,3.8,4.7
